0 	 0.166083
1 	 0.305943
2 	 0.273739
3 	 0.158480
4 	 0.066729
5 	 0.021775
6 	 0.005730
7 	 0.001249
8 	 0.000230
9 	 0.000036
10 	 0.000005
11 	 0.000001
12 	 0.000000
13 	 0.000000
14 	 0.000000
15 	 0.000000
16 	 0.000000
17 	 0.000000
18 	 0.000000
19 	 0.000000
20 	 0.000000
21 	 0.000000
22 	 0.000000
23 	 0.000000
24 	 0.000000
25 	 0.000000
26 	 0.000000
27 	 0.000000
28 	 0.000000
29 	 0.000000
30 	 0.000000
31 	 0.000000
32 	 0.000000
33 	 0.000000
34 	 0.000000
35 	 0.000000




0 	 0.173774
1 	 0.304104
2 	 0.266091
3 	 0.155220
4 	 0.067909
5 	 0.023768
6 	 0.006932
7 	 0.001733
8 	 0.000379
9 	 0.000074
10 	 0.000013
11 	 0.000002
12 	 0.000000
13 	 0.000000
14 	 0.000000
15 	 0.000000
16 	 0.000000
17 	 0.000000
18 	 0.000000
19 	 0.000000
20 	 0.000000
21 	 0.000000
22 	 0.000000
23 	 0.000000
24 	 0.000000
25 	 0.000000
26 	 0.000000
27 	 0.000000
28 	 0.000000
29 	 0.000000
30 	 0.000000
31 	 0.000000
32 	 0.000000
33 	 0.000000
34 	 0.000000
35 	 0.000000




